signal_id,signal_date,run_datetime_jst,ticker,name,sector,signal_type,raw_alerts,action_level,script_title,price_at_signal,high_52w,drawdown_pct,ma20,ma50,ma200,above_ma200,above_ma200_pct,recent_cross_above_ma200,return_1m_pct,return_3m_pct,return_6m_pct,return_20d_pct,return_60d_pct,topix_return_20d_pct,topix_return_3m_pct,relative_topix_20d_pct,relative_topix_3m_pct,volume_spike,recent_volume_spike_days,current_volume,avg_volume_20d,avg_turnover_20d,manual_review_done,review_date,fundamental_status,news_risk,earnings_risk,valuation_comment,personal_decision,decision_reason,paper_entry_date,paper_entry_price,planned_position_pct,stop_loss_price,target_review_price,exit_rule,actual_buy,actual_position_note,price_1w,return_1w_pct,topix_return_1w_pct,relative_return_1w_pct,price_1m,return_1m_forward_pct,topix_return_1m_pct,relative_return_1m_pct,price_3m,return_3m_forward_pct,topix_return_3m_pct,relative_return_3m_pct,price_6m,return_6m_forward_pct,topix_return_6m_pct,relative_return_6m_pct,max_gain_1m_pct,max_drawdown_1m_pct,max_gain_3m_pct,max_drawdown_3m_pct,result_label,notes
2026-05-11_6702.T_trend_weakness,2026-05-11,2026-05-13 00:40:13 JST,6702.T,富士通,防卫 / 航天 / 安全保障,trend_weakness,trend_weakness,E：风险警告，不建议新买入,趋势转弱，谨慎观察,3341.0,4586.318359375,27.15289828996314,3540.3,3448.5272021484375,3720.4006469726564,false,-10.197843806993745,false,2.6420890937020047,-22.771742614612666,-12.507986956949269,-0.11958146487294208,-14.371407995856211,2.4725259858629833,8.892559658979815,-2.5921074507359254,-31.664302273592483,false,1,8795500.0,11294815.0,39264112175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_7733.T_trend_weakness,2026-05-11,2026-05-13 00:40:13 JST,7733.T,オリンパス,医疗器械 / 高龄化 / 健康科技,trend_weakness,trend_weakness,E：风险警告，不建议新买入,趋势转弱，谨慎观察,1551.0,2074.509765625,25.235348336250375,1566.25,1474.3529443359375,1755.9191156005859,false,-11.670191057205749,false,-0.545046489259382,-15.127679957847706,-19.469583234644038,-0.7677543186180413,-14.89941074278237,2.4725259858629833,8.892559658979815,-3.2402803044810247,-24.02023961682752,false,0,3728700.0,4818185.0,7550376655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_7701.T_trend_weakness,2026-05-11,2026-05-13 00:40:13 JST,7701.T,島津製作所,医疗器械 / 高龄化 / 健康科技,trend_weakness,trend_weakness,E：风险警告，不建议新买入,趋势转弱，谨慎观察,3815.0,4424.6083984375,13.777680272287515,3749.7,3834.5221826171874,3900.193204345703,false,-2.184332926142696,false,-0.15702695629415953,-7.929306159638683,-7.708877660091574,-0.7027589796980704,-10.076978356656408,2.4725259858629833,8.892559658979815,-3.1752849655610538,-16.821865818618498,false,1,1634800.0,1480070.0,5557951160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_6849.T_trend_weakness,2026-05-11,2026-05-13 00:40:13 JST,6849.T,日本光電,医疗器械 / 高龄化 / 健康科技,trend_weakness,trend_weakness,E：风险警告，不建议新买入,趋势转弱，谨慎观察,1453.0,1839.051025390625,20.99186047916346,1494.7,1519.6336303710937,1632.204066772461,false,-10.979268488579441,false,-5.1566579634464755,-12.755491035192668,-17.71645168954672,-5.893782383419688,-15.14954681939541,2.4725259858629833,8.892559658979815,-8.36630836928267,-21.648050694172483,false,0,543700.0,509380.0,760002287.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11_8053.T_overheat_risk,2026-05-11,2026-05-13 00:40:13 JST,8053.T,住友商事,商社 / 资源 / 全球基础设施,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,7206.0,7400.0,2.6216216216216215,6207.45,6018.3028515625,5075.835313720703,true,41.96678092611001,false,20.84521214153949,20.579935225581703,57.09886711887666,19.20595533498759,22.74834958442988,2.4725259858629833,8.892559658979815,16.733429349124606,11.687375566601888,false,2,4338400.0,4712185.0,30995933115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_8035.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,8035.T,東京エレクトロン,半导体 / AI硬件,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,52160.0,52450.0,0.5529075309818875,46254.0,42527.497109375,33577.34477539062,true,55.342837109112054,false,35.691987513007284,26.67890610117343,62.042943753770686,22.989860881867475,28.31526539179996,4.789513338881424,10.124492844452003,18.20034754298605,16.554413256721425,false,0,1931800.0,3382370.0,156731096950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_6857.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,6857.T,アドバンテスト,半导体 / AI硬件,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,28705.0,31500.0,8.873015873015873,27985.0,25518.4877734375,19658.03549316406,true,46.021712138946725,false,29.301801801801798,10.426707933222957,29.946067416525104,13.818398096748608,17.179257883410102,4.789513338881424,10.124492844452003,9.028884757867184,0.3022150887709536,false,0,7971200.0,10789865.0,305430535200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_6920.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,6920.T,レーザーテック,半导体 / AI硬件,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,43490.0,45770.0,4.981428883548176,42978.0,38068.0,27871.780224609374,true,56.035960564874586,false,18.9226141646158,35.482866043613704,85.29036080513993,8.88833249874812,44.054322623385225,4.789513338881424,10.124492844452003,4.0988191598666965,25.3583731991617,false,0,3176900.0,4749070.0,203764657000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_7735.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,7735.T,SCREEN,半导体 / AI硬件,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,11430.0,11747.533203125,2.7029777029319817,10777.75,10206.208203125,7831.719736328125,true,45.944956980277695,false,23.91587163920208,10.338274097893319,67.51209971334518,14.0149625935162,14.33365250279721,4.789513338881424,10.124492844452003,9.225449254634777,0.21378125344131504,false,0,1566300.0,2090120.0,22561671400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_4063.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,4063.T,信越化学,半导体 / AI硬件,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,7520.0,7711.0,2.476980936324731,6964.5,6529.6743359375,5219.89119140625,true,44.064305638794266,false,14.39002129601461,47.77863219634679,63.868589839078304,16.228748068006183,48.61829307669132,4.789513338881424,10.124492844452003,11.43923472912476,37.654139351894784,false,0,5350500.0,8833770.0,62052705960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_3436.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,3436.T,SUMCO,半导体 / AI硬件,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,3760.0,3760.0,0.0,2483.7,2018.57,1563.6015936279298,true,140.470463532587,false,113.27283040272262,129.68845448992056,137.98779337796975,98.46925310108207,131.4558325638658,4.789513338881424,10.124492844452003,93.67973976220065,119.56396164546855,false,2,18620400.0,15362275.0,40539605495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_6723.T_breakout_but_overheated,2026-05-12,2026-05-14 01:39:26 JST,6723.T,ルネサス,半导体 / AI硬件,breakout_but_overheated,breakout_strength;overheat_risk,C：强势观察，不宜追高,强势突破但短线过热,3750.0,3750.0,0.0,3059.475,2730.31,2198.9060333251955,true,70.53934743765441,false,62.16216216216217,44.67592592592593,99.32800766789929,43.623132899272306,26.79628064243449,4.789513338881424,10.124492844452003,38.833619560390886,34.55143308147393,true,1,31623700.0,19159170.0,60839807065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_6963.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,6963.T,ローム,半导体 / AI硬件,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,3967.0,4000.0,0.8250000000000001,3689.55,3392.822470703125,2504.974525756836,true,58.3648839223799,false,11.746478873239429,47.35998978472469,67.41526761837497,9.283746556473837,59.30967772423934,4.789513338881424,10.124492844452003,4.494233217592413,37.23549694027268,false,1,6089400.0,5048105.0,18534766050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_5805.T_breakout_but_overheated,2026-05-12,2026-05-14 01:39:26 JST,5805.T,SWCC,AI基础设施 / 数据中心 / 电力 / 冷却,breakout_but_overheated,breakout_strength;overheat_risk,C：强势观察，不宜追高,强势突破但短线过热,18340.0,18340.0,0.0,15281.5,14480.5757421875,10734.824072265625,true,70.84583665775229,false,43.05772230889235,51.1809968876944,155.73218885756566,30.16323633782825,46.8581154682818,4.789513338881424,10.124492844452003,25.373722998946825,41.0565040432424,true,2,821400.0,422095.0,6601345600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12_5801.T_overheat_risk,2026-05-12,2026-05-14 01:39:26 JST,5801.T,古河電工,AI基础设施 / 数据中心 / 电力 / 冷却,overheat_risk,overheat_risk,D：不宜购买，避免追高,过热提醒，避免追高,50430.0,50430.0,0.0,44426.0,35923.2931640625,16802.941982421875,true,200.12601396086782,false,38.126540673788,256.44215505634634,384.72733505433627,17.442943642291574,250.1737092239008,4.789513338881424,10.124492844452003,12.65343030341015,246.31766221189434,false,0,7139800.0,5761795.0,258865361150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
